Id,Label,name,Degree
n0,Chiara Airoldi,Chiara Airoldi,7
n1,Federica Rovere,Federica Rovere,7
n2,Giada Marino,Giada Marino,7
n3,Giuseppina Falasca,Giuseppina Falasca,7
n4,Maarten Kooiker,Maarten Kooiker,7
n5,Maria Altamura,Maria Altamura,7
n6,Martin Kater,Martin Kater,7
n7,Fumihiko Okumura,Fumihiko Okumura,7
n8,Junji Tanaka,Junji Tanaka,7
n9,Masahiro Imamura,Masahiro Imamura,7
n10,Masashi Watanabe,Masashi Watanabe,7
n11,Misato Kikuchi,Misato Kikuchi,7
n12,Naoto Miyajima,Naoto Miyajima,7
n13,Shigetsugu Hatakeyama,Shigetsugu Hatakeyama,7
n14,Anna Belkina,Anna Belkina,5
n15,Fangnian Wang,Fangnian Wang,5
n16,Gerald Denis,Gerald Denis,5
n17,Hongsheng Liu,Hongsheng Liu,5
n18,Nathan Lebrasseur,Nathan Lebrasseur,5
n19,Adriana De Siervi,Adriana De Siervi,16
n20,Audrey Player,Audrey Player,16
n21,Constantinos Petrovas,Constantinos Petrovas,16
n22,Cynthia Haggerty,Cynthia Haggerty,16
n23,Dan Longo,Dan Longo,16
n24,Gila Idelman,Gila Idelman,16
n25,Joseph Kaberlein,Joseph Kaberlein,16
n26,Jung Byun,Jung Byun,16
n27,Keiko Ozato,Keiko Ozato,51
n28,Kevin Gardner,Kevin Gardner,16
n29,Madeline Wong,Madeline Wong,16
n30,Michael Thirman,Michael Thirman,16
n31,Quentin Li,Quentin Li,16
n32,Richard Koup,Richard Koup,16
n33,Sven Bilke,Sven Bilke,16
n34,Wenwu Cui,Wenwu Cui,16
n35,Elena Prosperini,Elena Prosperini,10
n36,Fraser McBlane,Fraser McBlane,10
n37,Giovanni Pacchiana,Giovanni Pacchiana,10
n38,Jesper Christensen,Jesper Christensen,10
n39,Julian Walfridsson,Julian Walfridsson,10
n40,Kristian Helin,Kristian Helin,10
n41,Marco Ciró,Marco Ciró,10
n42,Maria Capra,Maria Capra,10
n43,Micaela Quarto,Micaela Quarto,10
n44,Paolo Nucifero,Paolo Nucifero,10
n45,Akira Nishiyama,Akira Nishiyama,11
n46,Anup Dey,Anup Dey,13
n47,James McNally,James McNally,6
n48,Anne-Laure Vitte,Anne-Laure Vitte,13
n49,Carlo Petosa,Carlo Petosa,13
n50,Christoph Müller,Christoph Müller,13
